freq,unit,airpol,src_nfr,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,T,NOX,NFR2A2,EU27_2020	13586 	12297 	12021 	11954 	13076 	13621 	12684 	12645 	12071 	11609 	11078 	10409 	10282 	9968 	13494 	12451 	9328 	10755 	9495 	6990 	8554 	9271 	8832 	9562 	7437 	7058 	6909 	7133 	7066 	6463 	5311 	5490 
A,T,NOX,NFR2A3,EU27_2020	41751 	39159 	36539 	32661 	31634 	30670 	26638 	26253 	24898 	23440 	21560 	21675 	23031 	22097 	22629 	23602 	25025 	25419 	22029 	16223 	16292 	16404 	14948 	13876 	14114 	13660 	14488 	14524 	15036 	14220 	12910 	13597 
A,T,NOX,NFR2A5A,EU27_2020	8 	8 	8 	8 	8 	9 	9 	9 	10 	11 	14 	17 	46 	48 	42 	43 	44 	83 	96 	114 	111 	71 	71 	82 	77 	74 	72 	68 	57 	58 	38 	38 
A,T,NOX,NFR2A5C,EU27_2020	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,NOX,NFR2A6,EU27_2020	851 	935 	1135 	1278 	1149 	6167 	5662 	5544 	5582 	5301 	5470 	5052 	5020 	4326 	4091 	3857 	4118 	4038 	3536 	3173 	3204 	3386 	3156 	2927 	2910 	2975 	3134 	3129 	3275 	3183 	3145 	3331 
A,T,NOX,NFR2B1,EU27_2020	13213 	11423 	11022 	10965 	11038 	14531 	14646 	13841 	12560 	12474 	13732 	12467 	11392 	12942 	13700 	14183 	12720 	13448 	13319 	10435 	11440 	12303 	12293 	11745 	11591 	11096 	10620 	11436 	10791 	10299 	10820 	10109 
A,T,NOX,NFR2B10A,EU27_2020	41590 	41049 	41302 	35134 	38171 	40476 	23018 	22553 	22070 	22070 	22223 	22486 	21660 	19574 	19891 	20932 	20193 	20920 	18047 	15059 	16826 	17406 	15794 	16362 	16751 	17329 	17272 	17214 	17675 	17738 	16261 	17088 
A,T,NOX,NFR2B10B,EU27_2020	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,NOX,NFR2B2,EU27_2020	110766 	78297 	69662 	63246 	63261 	71636 	73753 	62189 	52448 	49032 	60245 	57051 	66889 	60159 	64599 	65940 	37106 	32769 	30227 	18198 	18414 	17593 	16428 	15279 	15960 	15975 	14373 	14717 	14277 	13973 	13925 	14152 
A,T,NOX,NFR2B3,EU27_2020	737 	655 	614 	614 	637 	644 	644 	739 	586 	488 	490 	433 	361 	346 	312 	318 	423 	345 	289 	241 	257 	238 	237 	214 	232 	237 	260 	246 	227 	212 	203 	212 
A,T,NOX,NFR2B5,EU27_2020	: 	: 	23 	117 	172 	197 	210 	225 	207 	189 	386 	414 	102 	103 	136 	69 	81 	79 	86 	77 	56 	56 	52 	43 	51 	50 	59 	58 	53 	60 	72 	61 
A,T,NOX,NFR2B6,EU27_2020	142 	141 	168 	165 	122 	185 	157 	215 	116 	125 	195 	167 	139 	201 	182 	168 	192 	183 	163 	133 	218 	217 	166 	173 	155 	184 	205 	154 	145 	146 	166 	164 
A,T,NOX,NFR2B7,EU27_2020	90 	89 	89 	74 	480 	158 	163 	148 	148 	148 	148 	148 	136 	100 	100 	100 	90 	90 	90 	50 	56 	68 	153 	92 	110 	86 	141 	133 	96 	96 	143 	143 
A,T,NOX,NFR2C1,EU27_2020	24134 	22116 	20271 	22162 	22386 	22327 	21144 	22715 	22211 	21206 	56112 	52060 	48997 	48057 	48842 	45771 	47220 	45335 	42363 	30488 	38825 	38795 	37344 	37526 	37857 	37746 	37372 	38674 	38447 	35608 	31747 	38053 
A,T,NOX,NFR2C2,EU27_2020	1047 	1040 	1017 	897 	983 	978 	979 	948 	933 	857 	1195 	1024 	952 	930 	618 	524 	441 	450 	336 	151 	202 	274 	358 	252 	257 	250 	236 	245 	225 	203 	121 	99 
A,T,NOX,NFR2C3,EU27_2020	2585 	2466 	2089 	1906 	1798 	1954 	2232 	2259 	2314 	2409 	2251 	2274 	2556 	2637 	2746 	2863 	2615 	2660 	2728 	2089 	2118 	2332 	2052 	1824 	1874 	1872 	1908 	1959 	1935 	1714 	1716 	1669 
A,T,NOX,NFR2C5,EU27_2020	97 	80 	223 	257 	278 	311 	311 	432 	328 	332 	331 	312 	249 	1008 	886 	209 	212 	176 	161 	236 	219 	222 	169 	167 	192 	183 	115 	90 	67 	63 	63 	0 
A,T,NOX,NFR2C6,EU27_2020	1602 	1061 	437 	367 	477 	75 	376 	356 	402 	401 	393 	4 	357 	411 	420 	259 	262 	1738 	293 	279 	287 	223 	255 	266 	278 	247 	337 	331 	347 	343 	460 	: 
A,T,NOX,NFR2C7A,EU27_2020	212 	174 	145 	126 	139 	152 	221 	234 	220 	178 	70 	80 	150 	158 	176 	192 	198 	198 	205 	33 	218 	195 	227 	209 	168 	163 	167 	139 	259 	273 	248 	98 
A,T,NOX,NFR2C7C,EU27_2020	3123 	2100 	2108 	2172 	2036 	2105 	2201 	2084 	2181 	2156 	1943 	2083 	2452 	2277 	2730 	2681 	2656 	2564 	2629 	1675 	2844 	3054 	2768 	2567 	2538 	2462 	2125 	2285 	2454 	2535 	2029 	1864 
A,T,NOX,NFR2C7D,EU27_2020	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,NOX,NFR2D3B,EU27_2020	768 	847 	1004 	920 	1060 	1028 	976 	1018 	1011 	1096 	1023 	994 	909 	879 	854 	977 	988 	942 	958 	972 	822 	900 	778 	760 	727 	784 	713 	720 	740 	737 	702 	713 
A,T,NOX,NFR2D3C,EU27_2020	11 	11 	10 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 
A,T,NOX,NFR2D3D,EU27_2020	52 	72 	78 	87 	97 	268 	128 	79 	132 	131 	133 	132 	65 	108 	162 	177 	165 	168 	143 	110 	120 	83 	62 	59 	49 	7 	9 	8 	6 	70 	23 	12 
