countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Malta,2006,5403000000.0,404999.0,4932160397.0,4454816686.0,4804037297.0,4326693586.0,3525856847.0,3048513136.0,4920278130.8,4442934419.8,4784233520.0,4306889809.0,3427026569.4,2949682858.4,4845371130.8,4368027419.8,4659388520.0,4182044809.0,2803990569.3999996,2326646858.3999996,12178203889.392319,10999574532.282795,11861849774.937716,10683220417.828192,8705840871.212029,7527211514.102504,12148864888.061453,10970235530.95193,11812951439.38627,10634322082.276747,8461814891.888622,7283185534.7790985,11963908875.824385,10785279518.71486,11504691418.991158,10326062061.881634,6923450599.631109,5744821242.521585,13340.773680922668
Malta,2007,5790300000.0,405616.0,5309147581.0,4822732590.0,5177335621.0,4690920630.0,3862354401.0,3375939410.0,5296676281.18,4810261290.18,5156550121.3,4670135130.3,3758624859.64,3272209868.64,5170430581.18,4684015590.18,4946140621.3,4459725630.3,2708581259.6400003,2222166268.6400003,13089098016.35044,11889897316.673899,12764130658.060825,11564929958.384285,9522194393.219202,8322993693.542661,13058351448.611494,11859150748.934954,12712886378.495918,11513685678.819376,9266461036.15242,8067260336.475879,12747107069.69153,11547906370.01499,12194145746.962645,10994945047.286102,6677698265.45304,5478497565.776499,14275.324444795076
Malta,2008,6206000000.0,407832.0,5761931799.0,5333211248.0,5634591999.0,5205871448.0,4364225899.0,3935505348.0,5749927247.28,5321206696.28,5614584412.8,5185863861.8,4264378516.44,3835657965.44,5546708147.28,5117987596.28,5275885912.8,4847165361.8,2574111716.4399996,2145391165.4399996,14128199354.145824,13076980835.245886,13815963433.472607,12764744914.572668,10701038415.32788,9649819896.42794,14098764312.952393,13047545794.052452,13766905031.483553,12715686512.583612,10456213628.258696,9404995109.358755,13600473104.807861,12549254585.907923,12936419684.576002,11885201165.676064,6311696277.977205,5260477759.077266,15217.050157908157
Malta,2009,6259600000.0,410926.0,5875304020.0,5546011634.0,5753643040.0,5424350654.0,4539929930.0,4210637544.0,5863890255.82,5534597869.82,5734620099.7,5405327713.7,4444996399.360001,4115704013.36,5730714555.82,5401422169.82,5512660599.7,5183368213.7,3337312799.36,3008020413.36,14297717885.945402,13496375585.871908,14001652462.97387,13200310162.900375,11048047409.99596,10246705109.922468,14269942169.198347,13468599869.124855,13955359601.728779,13154017301.655287,10817023988.16332,10015681688.089827,13945855350.647076,13144513050.573582,13415214904.143326,12613872604.069832,8121444735.451152,7320102435.377659,15232.912981899417
Malta,2010,6815800000.0,414027.0,6405895812.0,6035667367.0,6281007552.0,5910779107.0,5035098482.0,4664870037.0,6393411498.9,6023183053.9,6260200363.5,5889971918.5,4931260703.2,4561032258.2,6185265798.9,5815037353.9,5913290863.5,5543062418.5,3200017103.2,2829788658.2,15472169235.339724,14577955947.317446,15170526443.92757,14276313155.90529,12161280501.030127,11267067213.007847,15442015856.212276,14547802568.189997,15120270812.04849,14226057524.02621,11910480966.70024,11016267678.677961,14939281251.947336,14045067963.925058,14282379804.940258,13388166516.917978,7729005845.51249,6834792557.490212,16462.211401671873
Malta,2011,6924600000.0,414989.0,6554952527.0,6198950489.0,6430670747.0,6074668709.0,5190812037.0,4834809999.0,6540906931.52,6184904893.52,6407261421.2,6051259383.2,5073988353.96,4717986315.96,6190519831.52,5834517793.52,5823282921.2,5467280883.2,2159657553.959999,1803655515.959999,15795485005.626656,14937626031.051426,15496002898.872019,14638143924.29679,12508312357.67695,11650453383.10172,15761639300.126028,14903780325.550798,15439593389.704306,14581734415.129076,12226802045.259031,11368943070.683802,14917310655.27038,14059451680.69515,14032378981.61156,13174520007.036331,5204132046.777141,4346273072.201911,16686.22541802313
Malta,2012,7364500000.0,417546.0,6951928951.0,6595322098.0,6820700371.0,6464093518.0,5511539061.0,5154932208.0,6937349601.25,6580742748.25,6796401454.75,6439794601.75,5390275898.0,5033669045.0,6607550901.25,6250944048.25,6246736954.75,5890130101.75,2647188298.0,2290581445.0,16649492393.652435,15795438342.122784,16335207069.400736,15481153017.871084,13199836810.794498,12345782759.264847,16614575642.563932,15760521591.03428,16277012484.253231,15422958432.72358,12909418119.201239,12055364067.671585,15824725661.962994,14970671610.433342,14960595849.918333,14106541798.388681,6339872248.80612,5485818197.276467,17637.577656114536
Malta,2013,7944300000.0,422509.0,7579078386.0,7276007739.0,7461581286.0,7158510639.0,6289407836.0,5986337189.0,7563769700.37,7260699053.37,7436066809.95,7132996162.95,6162078450.76,5859007803.76,7304833400.37,7001762753.37,7004506309.95,6701435662.95,4008386050.76,3705315403.76,17938264950.5691,17220953255.433613,17660171229.4886,16942859534.353115,14885855297.756971,14168543602.621483,17902032146.936516,17184720451.801025,17599783223.43429,16882471528.298805,14584490391.35261,13867178696.217121,17289178219.564552,16571866524.429066,16578360011.147692,15861048316.012203,9487102170.036615,8769790474.901127,18802.676392692225
Malta,2014,8751100000.0,429424.0,8378211725.0,8061926745.0,8260484465.0,7944199485.0,7086014895.0,6769729915.0,8361860396.3,8045575416.3,8233232250.5,7916947270.5,6950013367.4,6633728387.4,8031293096.3,7715008116.3,7682286750.5,7366001770.5,4200532967.3999996,3884247987.3999996,19510348105.834793,18773815028.969036,19236196544.673794,18499663467.80804,16501208351.186707,15764675274.320951,19472270754.079884,18735737677.21413,19172734291.748947,18436201214.883194,16184501488.971273,15447968412.105518,18702478427.614666,17965945350.74891,17889747080.973583,17153214004.107828,9781784360.91136,9045251284.045605,20378.693319423226
Malta,2015,9996700000.0,439691.0,9699219022.0,9446746196.0,9609954322.0,9357481496.0,8719432672.0,8466959846.0,9683281113.79,9430808287.79,9583391141.65,9330918315.65,8586869752.92,8334396926.92,9257275113.79,9004802287.79,8873381141.65,8620908315.65,5043581752.92,4791108926.92,22059171149.73925,21484966023.86676,21856154258.33142,21281949132.45893,19830819079.762833,19256613953.890347,22022923175.11616,21448718049.243675,21795740967.29294,21221535841.420452,19529327989.246994,18955122863.374508,21054047305.471344,20479842179.598858,20180947851.218243,19606742725.345753,11470741390.931358,10896536265.05887,22735.739416999666
