country,country_name,year,variable,pollutant,pollutant_name,emissions to,environmental theme,damage,scenario,method,unit,value,reference
AL,Albania,2012,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,1033.0,"EEA, 2023"
AL,Albania,2012,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,2591.0,"EEA, 2023"
AL,Albania,2013,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,1029.0,"EEA, 2023"
AL,Albania,2013,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,2587.0,"EEA, 2023"
AL,Albania,2014,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,1041.0,"EEA, 2023"
AL,Albania,2014,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,2639.0,"EEA, 2023"
AL,Albania,2015,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,1066.0,"EEA, 2023"
AL,Albania,2015,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,2810.0,"EEA, 2023"
AL,Albania,2016,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,1079.0,"EEA, 2023"
AL,Albania,2016,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,2822.0,"EEA, 2023"
AL,Albania,2017,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,1101.0,"EEA, 2023"
AL,Albania,2017,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,2952.0,"EEA, 2023"
AL,Albania,2018,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,1110.0,"EEA, 2023"
AL,Albania,2018,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,3048.0,"EEA, 2023"
AL,Albania,2019,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,1078.0,"EEA, 2023"
AL,Albania,2019,env-price,NMVOC,Volatile organic compounds (non-methane),air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,2971.0,"EEA, 2023"
